userid,joindate,courseid
9890,2021-10-01,708
7705,2024-08-18,806
9839,2021-09-07,405
6496,2021-08-30,230
593,2023-01-03,834
9109,2023-02-01,127
2503,2020-01-07,486
3104,2021-03-14,94
4573,2020-10-30,216
8573,2020-10-14,868
7863,2020-01-17,599
2585,2021-12-08,363
5539,2020-09-14,430
5499,2024-08-24,863
876,2020-01-07,901
3794,2020-02-06,982
4219,2024-04-01,10
2828,2021-06-26,997
1579,2023-08-07,727
1037,2024-05-01,411
1612,2023-09-12,822
1633,2023-03-17,648
8976,2023-08-05,90
9239,2020-09-29,634
2358,2020-09-11,685
3298,2023-03-27,876
8938,2022-05-09,618
6388,2023-03-01,946
7037,2020-11-03,984
6107,2024-03-31,215
2896,2023-09-07,209
4602,2021-10-22,260
8021,2023-12-06,106
4033,2022-11-14,137
8886,2022-09-17,380
7748,2022-06-23,558
9160,2024-01-16,84
1274,2021-03-31,345
2523,2022-05-10,349
366,2020-05-04,139
384,2020-07-09,556
6322,2022-09-15,891
590,2020-08-16,91
1345,2021-08-13,916
5182,2022-11-26,247
2756,2024-04-28,214
2018,2022-05-22,841
2468,2021-12-20,811
4860,2024-10-01,581
1770,2023-12-27,471
5755,2022-10-17,701
7642,2022-06-06,390
7999,2023-03-23,772
8791,2022-04-07,13
1873,2022-07-29,678
7454,2024-09-15,358
6434,2021-08-06,917
4952,2020-10-01,326
2391,2024-07-26,478
2145,2024-12-04,429
6261,2022-07-04,776
9176,2021-02-02,500
6457,2021-03-05,889
8311,2023-05-20,105
9247,2020-08-06,771
4072,2021-10-24,968
9020,2022-07-15,411
4328,2020-05-05,114
3863,2022-03-05,25
6957,2023-10-02,266
1455,2024-04-04,898
6073,2020-02-17,622
1520,2023-03-22,326
9695,2021-04-15,413
2923,2022-11-21,727
5343,2022-05-22,989
2864,2024-05-24,463
5941,2020-10-30,592
4769,2020-12-27,900
6790,2022-07-05,195
7841,2023-04-04,538
5475,2023-12-25,864
5416,2021-09-27,864
3066,2023-01-28,82
5689,2024-09-25,108
9179,2022-11-22,317
7270,2022-12-11,966
714,2020-03-06,149
5885,2021-05-03,444
6133,2020-06-22,343
7227,2023-10-28,129
453,2020-01-23,575
361,2022-06-18,751
8658,2024-09-08,228
6919,2020-08-17,611
6595,2020-05-24,917
7398,2022-10-30,679
6644,2022-08-16,818
9737,2020-04-24,356
1931,2023-10-24,659
4312,2023-01-04,164
5636,2023-10-26,944
3534,2021-02-09,719
54,2024-05-26,546
9772,2023-02-26,555
9083,2020-03-06,670
875,2023-12-13,911
4592,2020-04-21,911
8825,2022-04-12,869
941,2023-02-18,34
6129,2024-07-23,904
2209,2022-05-15,80
8900,2023-10-17,896
2957,2020-03-10,300
2269,2023-05-08,631
8667,2020-03-06,352
3802,2020-04-21,564
8612,2020-02-05,382
9482,2022-06-16,284
3217,2024-02-19,305
128,2024-07-20,599
5918,2021-01-01,991
6447,2022-07-12,777
953,2021-05-15,793
875,2020-04-21,89
8173,2022-07-23,887
8327,2020-12-29,419
3090,2023-03-29,578
2781,2021-03-07,305
1655,2021-08-02,446
2626,2021-10-20,180
2298,2023-02-06,743
8261,2024-05-20,31
9301,2020-01-12,176
6233,2021-03-04,282
998,2023-07-09,729
1786,2020-09-10,124
6727,2021-09-26,985
3768,2020-08-31,746
1061,2021-09-23,247
6854,2020-07-02,524
7248,2022-03-19,756
863,2021-12-18,188
5706,2023-12-15,205
9850,2024-03-31,659
5344,2024-09-28,303
8301,2020-09-11,999
4695,2021-04-30,98
3293,2024-05-20,63
8846,2021-03-15,171
8148,2020-06-16,230
1354,2021-02-25,402
3376,2023-07-12,951
9795,2020-12-12,86
8201,2024-05-28,504
3736,2022-04-18,817
4407,2021-01-17,289
746,2023-11-07,479
939,2024-07-29,818
3469,2023-06-10,154
1142,2020-05-24,243
486,2023-02-01,858
3892,2024-01-15,999
7158,2022-06-02,491
5688,2022-03-06,866
2038,2024-08-10,437
1840,2021-02-26,792
6804,2021-03-25,969
5250,2022-03-22,156
6398,2024-03-10,507
5363,2024-04-12,212
4519,2023-09-21,983
6770,2022-12-09,821
8713,2020-08-28,196
7740,2024-11-13,551
9829,2022-07-30,38
3823,2020-09-29,596
3020,2023-01-29,734
3422,2022-04-15,695
3105,2022-12-04,6
5072,2021-03-19,703
6658,2023-12-02,989
8468,2021-05-18,308
2586,2022-01-05,462
3440,2020-11-01,315
4114,2020-07-03,952
2948,2022-02-13,969
7298,2022-08-28,203
6551,2022-06-13,820
2625,2022-05-27,27
5448,2023-07-18,655
9386,2022-07-01,20
570,2023-08-14,627
4642,2024-03-08,457
5405,2022-09-16,152
9717,2024-08-14,139
2332,2021-04-11,47
1989,2021-06-11,147
2912,2020-12-20,49
1423,2022-04-28,162
6969,2024-01-31,438
4364,2024-11-10,672
9792,2023-07-21,200
9605,2023-12-19,234
6902,2023-07-08,783
3458,2024-11-04,187
1064,2023-07-04,557
2575,2023-07-18,426
5076,2022-06-26,980
9724,2020-04-11,632
5619,2022-10-30,984
8882,2022-11-17,624
6074,2024-06-03,76
2554,2022-04-30,378
6017,2022-05-08,971
5135,2024-07-30,981
3645,2024-01-03,448
7671,2021-04-12,339
1647,2021-10-15,631
2794,2022-11-10,691
7616,2020-11-15,380
8384,2021-07-29,397
7074,2021-08-12,107
9613,2021-01-02,184
4724,2020-02-18,675
54,2020-04-24,570
9249,2022-10-22,407
4223,2021-09-07,676
6020,2021-05-04,656
8078,2022-08-01,279
1718,2020-09-14,94
9780,2021-06-01,803
9269,2024-12-03,816
1397,2022-12-08,735
4064,2021-01-10,133
9741,2022-03-16,290
8538,2023-01-09,916
3897,2023-07-27,264
3883,2022-03-21,616
2903,2020-08-13,382
8264,2022-02-02,580
1572,2021-03-17,125
8226,2022-05-17,131
2550,2024-01-09,412
2858,2020-01-17,388
1596,2022-06-25,794
7105,2020-07-28,15
5125,2023-01-14,294
3556,2024-06-28,278
4664,2024-02-11,108
126,2020-09-29,567
3005,2020-09-21,333
3519,2020-02-13,410
3224,2023-12-31,465
8727,2021-03-01,683
4221,2021-11-30,25
6545,2023-02-11,676
5898,2024-06-21,492
7318,2020-02-19,95
7847,2024-05-10,461
4810,2022-04-23,962
3971,2022-03-01,290
9396,2024-11-20,421
9325,2024-03-18,49
4063,2023-02-05,13
8929,2022-05-28,855
9390,2024-06-16,104
6191,2020-06-28,183
6989,2024-10-04,371
5346,2022-09-20,544
3957,2021-04-15,320
5455,2021-08-28,249
6236,2020-09-29,894
64,2020-05-10,284
1384,2023-12-16,915
5039,2020-04-30,849
4277,2022-04-10,951
1237,2022-04-04,962
2817,2022-08-31,570
5910,2022-03-05,551
3096,2024-06-11,940
5243,2020-11-11,327
9258,2021-04-28,691
3469,2022-07-12,607
1958,2021-09-28,90
7779,2021-03-08,561
5272,2021-03-10,695
104,2021-04-25,907
9917,2022-12-02,338
8924,2024-07-18,667
9787,2021-02-22,629
3861,2023-10-09,220
9566,2024-01-01,359
5985,2020-01-21,353
8546,2024-04-19,628
905,2023-10-12,179
3772,2021-08-23,785
1102,2023-10-19,17
720,2021-08-02,826
902,2023-06-03,115
2071,2022-11-21,400
5656,2024-10-26,98
9062,2023-07-17,638
695,2021-11-21,248
7582,2023-04-30,281
5343,2024-08-16,322
3625,2023-04-09,680
2472,2023-10-30,853
6726,2022-04-09,159
1568,2022-03-04,842
5259,2021-05-28,669
4117,2022-12-20,49
5677,2023-06-08,532
2538,2020-02-19,24
4571,2021-03-12,77
6351,2024-09-16,311
6044,2021-09-13,838
9022,2020-02-22,528
1138,2020-11-29,454
6657,2020-09-11,86
4782,2022-02-21,456
7420,2021-06-26,586
3714,2021-07-23,218
5569,2024-06-14,127
7780,2021-12-01,944
2324,2021-04-12,437
2106,2020-03-22,563
2623,2021-07-10,642
3523,2022-06-26,667
4,2022-03-11,366
5988,2020-01-08,688
5574,2021-02-18,957
3846,2024-08-14,370
5877,2020-11-16,601
8740,2021-09-11,325
4116,2023-03-21,178
8173,2022-07-21,410
622,2022-05-19,698
8146,2022-11-19,619
7820,2022-08-09,146
5975,2024-11-24,433
9210,2020-12-22,446
4483,2023-06-02,773
6146,2020-06-27,343
8521,2022-11-25,912
4666,2020-01-28,859
14,2021-12-09,699
6726,2022-07-16,613
4427,2024-08-26,23
8733,2020-04-25,289
7659,2022-08-25,446
9034,2021-01-13,543
5587,2023-09-09,85
9195,2021-03-31,218
9857,2022-04-06,162
9424,2020-09-26,522
3423,2023-04-12,245
1598,2023-12-27,47
4470,2024-09-20,981
7636,2023-11-19,694
7630,2024-05-20,838
6545,2023-10-02,110
7289,2024-04-17,345
4175,2022-01-28,465
2678,2020-11-25,315
7813,2024-03-14,445
7648,2023-11-04,230
510,2020-10-16,771
3205,2024-02-04,423
6441,2023-11-21,897
9357,2021-06-19,464
6150,2021-06-01,159
3868,2024-07-12,419
8696,2024-06-29,365
9429,2021-08-04,342
807,2023-03-23,781
1722,2022-01-25,625
5378,2021-09-18,579
7587,2023-02-08,961
1177,2021-03-04,56
3324,2023-08-05,344
2785,2020-06-04,46
1738,2023-02-05,613
5535,2020-12-05,884
1262,2022-05-15,202
6384,2022-11-07,141
1407,2024-08-17,499
2672,2022-05-06,813
1691,2023-02-19,835
5844,2023-02-06,370
2204,2021-09-01,551
7897,2023-08-29,68
4854,2023-05-03,202
5213,2022-01-13,781
4538,2023-10-20,126
9452,2023-06-18,987
4776,2024-07-27,138
1986,2024-08-20,218
5004,2020-12-09,323
7946,2020-02-18,549
2194,2022-08-28,350
7618,2023-05-07,141
1945,2024-02-19,389
2312,2023-03-07,926
9794,2023-08-01,928
1838,2022-01-09,945
3005,2024-09-27,253
1343,2022-07-07,120
5931,2022-09-13,492
2591,2021-11-24,491
8160,2024-07-09,430
4259,2021-10-30,494
2949,2023-02-08,366
1131,2023-10-28,697
3642,2021-12-09,920
2329,2024-08-07,431
2927,2020-03-25,891
6793,2022-10-20,332
9413,2020-10-09,584
4941,2023-10-31,880
1199,2020-10-24,499
9263,2021-05-14,363
8655,2023-03-18,965
5402,2022-03-25,222
8039,2023-10-18,220
3071,2020-07-19,67
1130,2023-12-18,323
4560,2022-12-08,659
1803,2020-03-29,969
8905,2022-04-07,932
3073,2021-09-12,295
3172,2021-12-04,57
3154,2022-10-27,598
287,2021-04-29,121
3689,2021-03-21,858
7085,2020-05-29,720
8419,2024-05-19,770
5153,2022-03-04,359
2490,2024-05-23,3
9603,2020-04-22,505
4582,2021-07-02,501
1442,2023-07-31,803
3202,2023-10-15,210
8,2024-02-03,571
9290,2023-01-17,677
8966,2024-03-26,261
8134,2022-10-14,209
3251,2020-01-06,695
8381,2021-07-27,490
1887,2021-03-03,493
4371,2022-06-18,933
176,2022-11-07,294
4791,2020-07-23,899
5098,2024-10-17,729
3112,2020-11-21,85
5999,2020-10-18,710
270,2023-09-27,868
5389,2023-06-28,968
4009,2023-07-01,616
4812,2024-03-13,686
7118,2023-12-15,503
8255,2020-01-13,935
9509,2022-07-01,139
3840,2022-06-18,869
4315,2023-09-16,65
7776,2021-08-05,651
4726,2024-08-15,295
567,2020-06-21,922
767,2023-03-16,836
3353,2020-02-21,107
7447,2022-03-16,523
5850,2020-11-17,427
1513,2020-01-28,598
4458,2023-12-18,923
5302,2024-08-01,331
4931,2023-03-06,101
6542,2022-11-09,990
3195,2021-12-27,200
5194,2020-07-01,812
6540,2023-02-19,331
6768,2021-12-25,812
410,2022-12-16,589
5708,2024-06-29,489
2386,2023-04-13,34
6583,2023-11-18,675
23,2022-01-08,785
8301,2021-09-10,394
3915,2024-07-17,167
9613,2023-05-17,830
6931,2020-11-05,418
120,2024-01-16,721
661,2020-11-29,208
9684,2022-10-24,851
8791,2023-03-17,539
2207,2024-04-20,106
6770,2021-10-02,164
4156,2024-01-31,513
7399,2021-12-31,847
7062,2020-03-19,2
2114,2023-12-12,489
1910,2020-07-25,327
8252,2024-02-29,306
8352,2021-05-23,659
1894,2023-01-18,977
3878,2024-05-04,229
20,2021-05-21,200
3456,2022-02-07,382
7076,2022-08-06,294
539,2021-02-23,8
9899,2024-01-25,141
6045,2023-01-08,892
5149,2020-12-14,698
8286,2024-07-30,419
5040,2022-09-07,821
7582,2023-05-26,423
2938,2023-10-13,640
7131,2023-06-07,610
6618,2023-11-20,498
8302,2022-10-09,918
2758,2023-08-10,34
9872,2023-08-02,344
8849,2022-12-12,421
26,2020-02-09,205
7052,2021-01-22,820
4436,2024-08-22,584
2644,2021-09-24,156
6641,2021-05-03,753
5458,2022-10-16,691
7209,2020-10-21,361
8989,2021-06-17,440
8155,2021-10-22,123
7325,2024-04-08,981
8265,2023-08-05,69
6117,2021-09-16,478
8577,2023-03-12,705
117,2022-02-11,452
3280,2022-03-17,989
7203,2021-07-02,626
6164,2021-11-20,114
9982,2023-09-28,818
5629,2023-11-02,8
9545,2023-07-26,420
1351,2021-10-14,740
48,2022-11-25,500
5129,2021-08-20,643
3552,2020-12-01,204
3677,2024-01-11,118
1277,2021-12-23,444
1703,2020-09-27,396
107,2022-04-15,53
8930,2020-10-01,814
4934,2022-12-15,503
2911,2022-08-02,804
4610,2020-02-16,526
3359,2024-05-24,426
4445,2021-09-16,854
3686,2023-03-28,18
400,2021-12-12,474
166,2023-10-07,784
9331,2021-12-29,947
3589,2024-11-13,51
7665,2024-05-24,770
3047,2024-01-04,757
758,2023-01-04,359
2329,2023-06-06,667
3361,2020-08-22,720
8431,2022-09-18,319
8996,2024-11-28,764
7891,2020-04-24,614
700,2024-08-21,362
1830,2021-01-21,710
3609,2020-09-15,571
9949,2021-11-17,824
9054,2024-04-24,505
1606,2023-01-15,684
388,2021-08-30,545
2800,2021-02-14,927
7432,2021-10-11,640
313,2023-02-18,206
8911,2020-12-07,167
6738,2021-02-01,659
8666,2022-07-01,459
6156,2021-11-07,591
7121,2021-03-10,557
422,2024-01-13,356
3258,2022-09-30,859
584,2024-11-14,28
5886,2021-01-27,167
4723,2023-06-15,564
679,2020-10-03,504
545,2021-05-15,62
4619,2020-08-03,277
4667,2020-06-19,110
5432,2023-08-11,941
6596,2024-04-07,835
552,2020-12-25,284
9654,2021-01-19,137
5136,2024-06-19,337
6531,2020-01-12,129
641,2021-12-28,898
1262,2021-11-17,616
1424,2022-02-28,652
9281,2020-02-23,591
1762,2020-02-15,524
8121,2024-11-27,943
671,2021-06-11,792
2367,2022-01-09,903
1975,2024-05-16,714
2560,2023-07-12,456
9022,2020-12-17,76
8154,2023-10-16,397
8503,2020-01-15,324
26,2021-05-24,562
8841,2024-09-20,901
9736,2020-12-20,742
6454,2024-05-29,672
2123,2021-07-17,739
3890,2022-07-02,684
3517,2024-07-13,968
4856,2022-06-15,290
8765,2024-09-26,959
1829,2024-04-14,568
6292,2022-05-09,447
5347,2021-04-09,878
5243,2021-06-09,352
376,2021-04-13,610
9311,2020-06-24,534
4703,2022-09-28,171
3589,2020-11-02,179
5165,2020-11-26,632
6287,2022-03-11,273
8173,2020-12-27,858
4355,2021-04-27,897
6981,2022-06-15,782
7715,2023-09-14,590
3737,2020-04-30,182
3435,2020-08-25,293
9349,2023-02-11,553
1816,2022-06-20,709
8387,2022-12-10,368
8499,2021-05-23,696
9408,2024-06-06,172
1519,2023-01-03,430
7143,2024-04-07,39
8472,2020-11-21,819
3099,2021-01-01,606
7220,2020-12-12,730
9182,2021-08-06,910
4869,2021-05-11,62
4523,2021-10-28,291
9150,2020-10-30,997
5842,2022-03-25,396
8070,2023-07-12,539
3710,2024-01-18,177
6152,2020-05-05,832
6978,2022-01-21,90
9748,2021-12-31,471
138,2021-03-30,92
3098,2024-08-24,701
2417,2024-04-21,46
5357,2021-01-11,278
7858,2024-04-07,451
4574,2023-11-06,863
4163,2024-07-06,148
4182,2021-03-03,231
3534,2023-07-30,591
2728,2021-12-16,137
3217,2024-01-01,244
2457,2020-02-28,111
320,2024-10-13,596
6574,2023-08-03,842
8147,2022-07-17,750
1110,2023-10-28,811
5347,2021-07-21,598
2830,2020-04-10,785
840,2023-06-11,877
2693,2024-02-15,504
3979,2024-05-02,723
8132,2021-09-29,867
383,2022-03-05,620
9148,2022-06-07,971
8858,2020-06-27,624
3945,2024-03-22,778
9470,2021-02-03,828
9902,2022-01-26,609
6277,2023-04-17,947
6066,2020-06-23,997
3142,2021-07-14,174
6841,2022-08-10,710
4741,2022-04-26,530
3806,2024-11-11,932
1498,2020-06-22,253
6694,2022-06-30,115
8419,2020-05-21,542
6596,2024-01-26,350
225,2020-11-02,71
1051,2020-01-09,735
9892,2022-03-30,251
7874,2023-02-24,41
5290,2021-07-11,12
7422,2021-08-29,201
5267,2024-06-28,880
1577,2020-07-04,22
9471,2020-09-05,461
9619,2020-04-03,830
9002,2021-07-22,225
7111,2023-03-18,346
3968,2023-09-05,903
8878,2023-03-29,739
6095,2021-10-17,199
8724,2022-11-28,461
6731,2020-03-04,176
7817,2024-09-03,684
9250,2022-09-08,838
1213,2023-04-20,269
3113,2020-09-13,210
7455,2021-04-13,215
1640,2020-08-24,953
3632,2023-01-05,522
5309,2020-02-13,860
7227,2024-03-20,72
8216,2020-03-14,714
7034,2024-11-26,212
9410,2023-03-02,346
6449,2020-08-08,272
6619,2023-03-04,14
1436,2022-08-10,495
8331,2021-07-25,992
4556,2021-11-16,165
8770,2021-08-06,42
177,2020-12-24,678
8819,2023-08-26,74
2572,2024-01-02,694
8051,2021-11-25,115
9600,2021-06-26,639
9320,2024-03-06,768
3571,2020-04-22,791
2837,2023-10-01,971
9547,2023-05-15,642
6615,2023-11-23,470
4899,2020-06-18,881
136,2023-02-08,521
9059,2021-08-16,657
7078,2023-04-10,654
7070,2022-10-10,313
7667,2020-03-04,26
612,2022-03-03,244
4717,2021-03-29,279
2362,2020-02-09,330
2969,2023-07-03,862
9384,2022-11-02,682
6764,2024-10-22,614
3087,2023-08-07,388
5062,2022-11-26,328
2732,2021-10-08,350
412,2021-12-05,593
1013,2022-11-22,185
429,2024-04-05,572
1688,2023-05-10,739
8129,2024-01-01,900
8864,2022-10-24,573
6590,2024-10-17,466
2468,2021-01-03,311
6382,2020-03-28,238
151,2022-03-23,518
9347,2024-09-13,684
2492,2022-11-20,550
1190,2021-02-07,529
9771,2020-06-28,710
9019,2023-09-04,110
608,2022-05-31,881
4838,2021-05-11,837
1494,2022-09-01,640
5940,2023-07-28,431
9924,2022-03-30,591
2476,2023-01-03,893
9290,2023-07-25,466
719,2022-03-07,989
1757,2021-04-24,437
3773,2023-09-19,989
5767,2023-10-03,278
7162,2024-05-11,601
4843,2024-01-25,218
9651,2023-02-27,726
5593,2021-06-11,791
454,2022-08-02,711
836,2020-12-25,102
4046,2024-08-13,237
5785,2021-10-26,309
6544,2021-04-04,817
5190,2020-01-20,825
1364,2020-06-12,29
6164,2023-08-22,732
2940,2021-05-12,101
3359,2022-09-20,344
8289,2022-09-08,518
1914,2020-10-23,297
6607,2021-08-27,901
5894,2024-06-01,200
4401,2023-07-14,295
5850,2020-04-19,718
674,2022-02-10,840
594,2024-12-02,91
5385,2020-05-06,819
8226,2023-06-25,277
948,2020-01-11,126
7013,2022-11-25,833
34,2023-07-15,79
9230,2020-09-09,883
6554,2020-05-12,957
541,2021-11-03,118
4520,2021-11-10,719
9190,2024-01-29,874
4354,2020-12-08,715
3427,2023-05-30,1000
7713,2024-03-18,139
4508,2023-02-15,536
8195,2024-09-28,678
7240,2020-03-21,510
30,2022-12-09,515
8942,2024-04-09,286
9506,2022-06-11,754
506,2020-12-09,513
6434,2020-02-18,523
4886,2020-07-22,760
6910,2023-02-01,391
7974,2020-08-13,69
8978,2024-02-18,810
7855,2023-12-12,950
4668,2023-04-20,743
9377,2024-03-13,587
3028,2020-11-28,622
1921,2020-05-03,166
1244,2021-08-16,999
5891,2022-10-22,679
7303,2020-11-28,748
6539,2021-05-21,6
6783,2020-11-16,75
1039,2022-01-14,150
8703,2020-08-02,451
541,2021-03-14,596
8712,2024-03-13,953
8182,2022-05-14,921
5078,2023-04-12,828
6465,2023-02-17,516
4166,2020-08-08,799
5456,2021-10-04,992
8291,2021-08-29,188
2801,2022-11-04,435
1990,2021-03-04,674
3000,2024-02-25,863
2107,2023-09-16,96
2476,2023-01-12,670
2235,2024-03-02,163
9959,2024-01-25,721
8022,2021-10-05,725
6695,2020-01-10,634
3998,2024-01-23,967
1963,2024-03-31,756
9335,2020-01-10,757
2012,2023-01-12,976
8560,2021-01-26,270
6250,2024-05-18,844
7396,2020-10-27,424
4689,2020-06-24,900
1913,2020-08-19,168
6736,2024-04-07,462
1949,2022-04-29,87
4723,2022-09-11,617
8649,2023-04-25,242
512,2023-12-04,800
5284,2022-11-25,145
5673,2020-10-31,536
4287,2023-01-05,873
9412,2020-01-26,835
2503,2020-09-19,258
2927,2023-09-08,611
2877,2020-12-29,611
4850,2024-11-22,197
7908,2020-07-20,768
4447,2020-10-04,625
4496,2021-07-21,557
8009,2024-06-22,686
4597,2021-05-29,74
6558,2022-06-02,320
5341,2020-04-09,727
8650,2023-11-28,698
1755,2023-07-24,364
6753,2024-09-21,500
5267,2023-04-18,73
9844,2020-08-24,515
7825,2024-05-30,673
7831,2021-06-30,434
9757,2024-06-27,898
5225,2023-05-25,347
8340,2022-07-10,573
3049,2023-04-16,848
323,2020-08-23,891
1344,2021-04-03,898
2528,2020-10-08,512
3118,2021-02-09,54
7846,2021-01-02,937
8522,2023-05-22,77
6742,2023-09-05,183
5477,2022-03-26,121
2744,2024-09-10,681
6349,2023-04-01,398
2746,2024-05-14,613
6092,2023-07-23,764
6472,2021-12-13,315
7133,2022-09-14,684
7050,2022-08-09,18
6799,2022-10-09,345
3628,2021-06-16,424
5544,2020-06-05,546
6874,2020-09-28,71
1773,2024-04-08,187
5716,2023-11-15,814
5852,2021-06-07,786
9990,2023-11-26,508
3352,2021-01-28,361
3312,2023-09-05,684
3006,2022-09-14,202
3776,2024-07-31,895
2466,2022-12-21,606
400,2024-06-26,777
5468,2020-08-30,665
1085,2021-04-01,402
8915,2022-04-24,57
8023,2023-12-11,621
1704,2020-07-30,857
5658,2021-04-29,298
9445,2020-05-22,923
9638,2022-05-15,36
2050,2020-01-27,634
679,2024-11-10,861
4765,2020-12-03,324
4866,2021-11-21,535
1042,2022-07-23,491
2724,2021-08-23,14
7379,2023-05-31,36
4273,2022-08-30,958
2391,2022-04-05,446
40,2022-10-31,864
4250,2022-01-31,684
710,2024-09-14,977
2453,2023-10-07,722
2523,2022-09-09,761
1917,2024-02-25,875
7205,2022-04-28,709
637,2021-11-26,801
6209,2023-04-09,428
2189,2021-08-07,228
2468,2022-10-26,757
4350,2020-08-04,409
304,2020-03-20,803
3039,2024-05-13,553
8980,2024-07-25,217
9696,2023-03-07,724
2514,2024-09-27,160
9165,2021-06-13,592
8444,2023-11-06,646
3666,2021-10-29,811
2103,2024-01-24,624
290,2021-07-03,454
2816,2021-09-17,60
6632,2021-03-18,985
1625,2023-12-11,829
143,2024-10-31,48
7228,2022-02-17,793
5065,2022-06-19,172
1894,2022-05-01,489
7030,2024-11-23,875
5421,2024-09-07,513
8518,2024-03-28,477
9768,2024-12-05,443
4447,2024-07-12,457
9855,2023-09-23,375
9634,2023-03-27,675
7593,2022-08-08,610
7503,2023-07-22,933
823,2022-08-11,492
9999,2024-07-11,347
3402,2021-02-19,669
766,2022-12-29,804
396,2021-12-20,890
5045,2023-09-10,767
91,2024-01-12,221
2858,2022-08-19,774
4382,2021-09-16,164
7537,2022-01-13,258
6665,2024-08-25,776
5240,2024-09-18,962
2012,2024-07-27,922
4387,2022-09-07,216
9482,2020-02-04,362
3686,2021-05-20,524
7517,2022-12-27,686
4906,2023-10-08,741
2257,2022-05-24,566
3835,2020-08-14,88
7906,2023-09-16,486
1867,2022-05-24,95
6012,2020-10-19,71
8860,2024-03-26,415
3353,2021-04-18,247
5239,2023-06-05,815
3220,2023-06-24,671
4357,2023-12-08,747
1447,2023-09-03,239
4814,2022-12-05,290
9055,2023-08-13,628
2101,2020-05-25,518
3738,2024-07-14,727
904,2020-11-23,630
7699,2023-05-13,667
5402,2021-10-02,595
4520,2022-03-19,685
3376,2022-08-13,449
2710,2020-10-07,336
2925,2024-06-13,109
4027,2020-02-14,100
6726,2023-01-22,850
5911,2020-01-28,379
7022,2020-04-15,814
9936,2020-06-28,937
7604,2023-09-11,957
3173,2024-03-26,143
3634,2021-05-21,907
547,2021-12-24,341
9630,2020-05-17,763
4639,2021-06-10,846
5994,2024-10-23,293
2285,2024-05-23,565
8760,2020-04-18,968
3327,2023-11-30,202
7738,2020-09-08,486
1844,2022-04-24,750
6345,2020-09-19,765
7122,2023-08-29,996
1639,2021-09-11,582
2754,2020-02-13,971
6637,2023-11-18,862
4381,2020-09-08,436
6616,2024-05-31,495
6067,2024-08-06,578
8192,2020-03-21,945
4771,2021-07-01,313
5068,2021-06-06,510
8534,2020-01-24,70
5223,2021-12-08,680
7395,2022-05-20,241
2986,2020-09-09,428
4548,2024-10-06,627
5650,2021-09-14,709
6892,2021-04-10,102
9782,2020-03-02,98
2425,2024-07-18,53
1191,2023-09-26,279
4163,2022-08-16,870
